kraj,stolica,powierzchnia,1995,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Ś w i a t /  W o r l d,,136162,5751474,6145007,6223412,6302150,6381409,6461371,6542159,6623848,6706419,6789771,6873741,6958169,7043009,7128177,7213426,7298453,7383009,7466964
Argentyna / Argentina,Buenos Aires / Buenos Aires,2780,34772,36939,37318,37944,36846,39145,38592,38971,39531,39737,40276,40666,40365,40883,41348,42980,43391,43805
Australia / Australia,Canberra / Canberra,7692,18118,19171,19407,19536,19880,20141,20345,20680,20857,21338,21829,22403,22651,21816,23028,23622,23861,24098
Austria / Austria,Wiedeń / Vienna,84,7936,8005,8039,8069,8054,8105,8168,8263,8319,8338,8378,8382,8419,8456,8496,8517,8608,8758
Belgia / Belgium,Bruksela / Brussels,31,10084,10193,10227,10276,10341,10416,10432,10517,10597,10697,10779,10868,10971,11053,11237,11226,11227,11297
Białoruś / Belarus,Mińsk / Minsk,208,10270,10054,10005,9922,9881,9828,9776,9726,9692,9675,9658,9457,9472,9453,9441,9500,9487,9507
Brazylia / Brazil,Brasília / Brasília,8516,161692,174174,176659,174706,178470,180542,184016,186771,189335,187163,191481,193253,192813,195094,195976,206078,204519,207345
Bułgaria / Bulgaria,Sofia   /   Sofia,111,8357,8006,7948,7868,7786,7715,7740,7681,7645,7569,7584,7562,7333,7288,7268,7201,7181,7151
Chile / Chile,Santiago / Santiago ,756,14410,15419,15602,15589,15326,15824,16295,16436,16598,16454,16602,16746,17270,17423,16770,17763,18068,18201
Chiny / China,Pekin / Beijing (Peking),9573,1217595,1274062,1283859,1294377,1288892,1298848,1304369,1311381,1317925,1324681,1331433,1338085,1342274,1349911,1357388,1369436,1370708,1377380
Chorwacja / Croatia,Zagrzeb / Zagreb,57,4669,4505,4482,4440,4428,4497,4440,4450,4440,4433,4431,4426,4287,4273,4251,4256,4232,4195
Cypr / Cyprus,Nikozja / Nicosia,9,731,787,797,799,714,749,749,766,1047,1076,1084,1085,1118,1139,1192,1154,1153,1167
Czechy / Czech Republic,Praga / Prague,79,10319,10224,10206,10201,10202,10212,10235,10260,10302,10408,10504,10526,10551,10605,10483,10543,10551,10562
Dania / Denmark,Kopenhaga / Copenhagen,43,5228,5335,5354,5343,5387,5401,5416,5435,5454,5494,5523,5546,5574,5598,5638,5647,5676,5731
Egipt / Egypt,Kair / Cairo,997,63858,70174,71518,70278,68185,69261,70457,72034,73358,74805,82999,84474,82537,83958,85017,89580,88807,88845
Estonia / Estonia,Tallinn / Tallinn,45,1439,1370,1363,1359,1353,1342,1345,1343,1338,1340,1340,1340,1340,1291,1285,1316,1311,1317
Finlandia / Finland,Helsinki / Helsinki,391,5108,5173,5186,5183,5212,5226,5244,5265,5286,5310,5339,5364,5387,5414,5439,5480,5483,5492
Francja / France,Paryż / Paris,544,57999,59128,59459,59670,59773,60044,60733,61114,61709,62028,62596,62962,63278,63652,63853,64121,64295,64641
Grecja / Greece,Ateny / Athens,132,10672,10942,10974,11000,11001,11015,11088,11130,11190,11239,11285,11329,11372,9793,10893,11001,10943,10944
Hiszpania / Spain,Madryt / Madrid,506,39391,40264,40708,41257,42600,43768,44079,44561,45321,45661,46059,46506,47215,47346,47888,46260,46381,46370
Holandia / Netherlands,Amsterdam / Amsterdam ,42,15448,15915,16001,16140,16238,16275,16306,16343,16371,16433,16522,16602,16683,16767,16802,16868,16923,17028
Indie / India,Nowe Delhi / New Delhi,3166,953148,1042590,1060371,1033000,1065462,1081229,1103371,1119538,1129866,1147996,1198003,1173108,1216728,1235004,1255230,1295292,1299490,1320844
Indonezja / Indonesia,Dżakarta / Jakarta,1911,191501,205280,208064,217534,219883,222611,222781,222731,231627,234342,229965,232517,241343,244814,248336,254455,255729,258843
Irlandia / Ireland,Dublin / Dublin,70,3609,3804,3868,3897,3969,4024,4152,4250,4330,4467,4553,4451,4606,4680,4594,4675,4618,4781
Islandia / Iceland,Reykjavík / Reykjavík,103,267,281,283,283,290,292,295,302,310,315,318,317,319,320,323,327,330,334
Izrael / Israel ,Jerozolima  / Jerusalem ,22,5374,6084,6211,6450,6473,6562,6677,6801,6900,7018,7128,7302,7431,7557,7686,7939,8022,8126
Japonia / Japan,Tokio / Tokyo,378,125442,126706,126907,127538,127546,127757,128085,127716,127770,127674,127556,127320,127937,127644,127260,126795,126843,126915
Kanada / Canada,Ottawa / Ottawa,9985,29302,30687,30993,31268,31590,31876,32227,32547,32945,33213,33687,34132,34447,33897,34897,35588,36017,36222
Korea Południowa / South Korea,Seul / Seoul,100,44651,46429,46707,47389,47925,48199,48294,47983,48456,50187,48333,49169,48755,49020,50154,50074,49307,51619
Litwa / Lithuania,Wilno / Vilnius,65,3630,3501,3482,3469,3454,3439,3413,3392,3375,3358,3339,3297,3218,3171,2964,2917,2910,2870
Luksemburg / Luxembourg,Luksemburg / Luxembourg,3,409,437,442,448,453,454,457,461,467,488,498,506,517,524,546,557,570,583
