K R A J  /  C O U N T R Y ,1995,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Ś w i a t /  W o r l d,8,67,81,105,122,141,157,175,204,230,254,287,311,342,367,398,431,458,480
Argentyna / Argentina,1,70,98,109,119,160,177,209,259,281,340,450,510,558,599,647,680,710,.
Australia / Australia,28,468,527,.,.,.,630,660,695,717,743,760,795,790,835,840,846,882,865
Austria / Austria,19,337,392,366,427,543,580,636,694,729,735,752,787,800,806,810,839,843,879
Belgia / Belgium,10,294,313,463,500,539,558,597,644,660,700,750,816,807,822,850,851,865,877
Białoruś / Belarus,0,19,43,90,.,.,.,162,197,230,274,318,396,469,542,590,673,711,744
Brazylia / Brazil,1,29,45,91,132,191,210,282,309,338,392,407,457,486,510,546,583,609,.
Bułgaria / Bulgaria,1,54,76,91,120,181,200,271,336,397,450,462,480,519,531,555,567,598,634
Chile / Chile,3,166,191,221,255,282,312,345,359,373,416,450,522,551,580,611,766,836,823
Chiny / China,0,18,26,46,62,73,85,105,160,226,289,343,383,423,458,479,503,532,543
Chorwacja / Croatia,5,66,116,178,228,309,331,380,414,442,506,566,578,619,667,686,698,727,671
Cypr / Cyprus,4,153,188,283,301,338,328,358,408,423,498,530,569,607,655,693,717,759,807
Czechy / Czech Republic,15,98,147,239,343,355,353,479,519,630,644,688,705,734,741,742,757,765,787
Dania / Denmark,38,392,430,643,763,809,827,867,850,850,868,887,898,923,946,960,963,970,971
Egipt / Egypt,0,6,8,27,40,119,128,137,160,180,200,216,256,264,294,339,378,412,450
Estonia / Estonia,28,286,315,415,453,532,615,635,662,706,725,741,765,784,800,842,884,872,881
Finlandia / Finland,139,372,431,624,692,724,745,797,808,837,825,869,887,899,915,865,864,877,875
Francja / France,16,143,263,302,361,392,429,469,661,707,716,773,778,814,819,838,780,793,805
Grecja / Greece,7,91,109,147,178,214,240,323,359,382,424,444,516,551,599,632,668,691,.
Hiszpania / Spain,4,136,181,204,399,440,479,504,551,596,624,658,671,698,716,762,787,806,846
Holandia / Netherlands,65,440,494,613,644,685,810,837,858,874,896,907,914,929,940,917,917,904,932
Indie / India,0,5,7,15,17,20,24,28,40,44,51,75,101,126,151,210,260,295,.
Indonezja / Indonesia,0,9,20,21,24,26,36,48,58,79,69,109,123,145,149,171,220,255,323
Irlandia / Ireland,11,179,231,259,343,370,416,548,612,653,674,699,749,769,782,835,835,850,845
Islandia / Iceland,112,445,494,791,831,839,870,895,906,910,930,934,948,962,965,982,982,982,.
Izrael / Israel ,9,209,174,178,196,228,252,279,481,594,631,675,689,708,703,750,774,797,816
Japonia / Japan,16,300,385,466,484,624,669,687,743,754,780,782,791,795,882,891,911,932,909
Kanada / Canada,42,513,602,616,642,660,717,724,732,767,803,803,830,830,858,871,885,912,.
Korea Południowa / South Korea,8,447,566,594,655,727,735,781,788,810,816,837,838,841,848,876,899,928,951
Litwa / Lithuania,.,64,72,177,259,312,362,439,499,552,598,621,636,672,685,721,714,744,776
Luksemburg / Luxembourg,16,229,362,398,546,659,700,725,789,822,873,906,900,919,938,947,964,981,978
Łotwa / Latvia,.,63,72,219,270,386,460,536,592,634,668,684,697,731,752,758,792,798,813
Malta / Malta,2,131,179,289,316,346,412,404,469,501,589,630,680,682,689,732,760,773,801
Meksyk / Mexico,1,51,70,119,129,141,172,195,208,217,263,311,372,398,435,444,574,595,639
Niemcy / Germany,18,302,317,488,559,647,687,722,752,780,790,820,813,823,842,862,876,896,844
Nigeria / Nigeria,.,1,1,3,6,13,35,55,68,80,93,115,138,161,191,210,245,257,.
Norwegia / Norway,64,520,640,728,781,777,820,826,869,906,921,934,935,946,951,963,968,973,965
Nowa Zelandia / New Zealand,49,474,532,591,610,618,627,690,698,720,797,805,812,816,828,855,882,885,.
P o l s k a / P o l a n d,6,73,99,212,249,325,388,446,486,531,590,623,619,623,628,666,680,733,760
Południowa Afryka / South Africa,7,53,63,67,70,84,75,76,81,84,100,240,340,410,465,490,519,540,.
Portugalia / Portugal,15,164,181,194,297,318,350,380,421,441,483,533,552,603,621,646,686,704,738
Rosja / Russia,1,20,29,41,83,129,152,180,247,268,290,430,490,638,680,705,701,731,760
Rumunia / Romania,1,36,45,66,89,150,215,247,283,324,366,399,400,459,498,541,558,595,637
Słowacja / Slovakia,5,94,125,401,430,529,552,561,618,661,700,757,744,767,779,800,776,805,816
Słowenia / Slovenia,29,151,302,278,319,408,468,540,567,580,640,700,673,683,727,716,731,755,789
Stany Zjednoczone / United States ,92,431,491,588,617,648,680,689,750,740,710,717,697,747,714,730,746,762,.
Szwajcaria / Switzerland,36,471,551,614,651,678,701,757,772,792,813,839,852,852,863,874,875,891,937
Szwecja / Sweden,51,457,518,706,791,839,848,878,820,900,910,900,928,932,948,925,906,897,964
Turcja / Turkey,1,38,52,114,123,146,155,182,286,344,364,398,431,451,463,510,537,583,647
Ukraina / Ukraine,.,7,12,19,31,35,37,45,66,110,179,233,287,353,410,462,489,530,.
Węgry / Hungary,7,70,145,167,216,277,390,471,533,610,620,650,680,706,726,757,728,793,768
Wielka Brytania / United Kingdom,19,268,335,565,648,656,700,688,751,784,836,850,854,875,898,916,920,948,.
Włochy / Italy,5,231,272,280,290,332,350,380,408,445,488,537,544,558,585,556,581,613,613
