Data,Nazwa,Kurs otwarcia,Kurs max,Kurs min,Kurs zamknięcia,Zmiana,Wolumen,Liczba Transakcji,Obrót
2014-01-14,ORANGEPL,10.01,10.06,9.91,10.02,-0.3,4044048,853,40447.04
2014-01-15,ORANGEPL,10.05,10.05,9.96,10.02,0,2746042,689,27488.6
2014-01-16,ORANGEPL,10.02,10.19,9.92,10.08,0.6,1908325,895,19254.62
2014-01-17,ORANGEPL,10.08,10.13,9.85,10.12,0.4,2064190,1326,20673.83
2014-01-20,ORANGEPL,10.12,10.23,10.06,10.23,1.09,768008,612,7800.49
2014-01-21,ORANGEPL,10.27,10.59,10.14,10.39,1.56,2030753,1450,21097.02
2014-01-22,ORANGEPL,10.43,10.58,10.01,10.2,-1.83,3264836,2651,33229.33
2014-01-23,ORANGEPL,10.2,10.2,9.78,9.78,-4.12,2584768,1866,25654.58
2014-01-24,ORANGEPL,9.75,9.87,9.6,9.6,-1.84,1666999,1349,16110.53
2014-01-27,ORANGEPL,9.52,9.78,9.52,9.7,1.04,2740928,1808,26516.6
2014-01-28,ORANGEPL,9.75,10.29,9.74,10.25,5.67,4779752,2544,48068.15
2014-01-29,ORANGEPL,10.29,10.35,10.02,10.11,-1.37,2007886,1537,20317.41
2014-01-30,ORANGEPL,10.04,10.33,10.02,10.33,2.18,2906897,1694,29779.15
2014-01-31,ORANGEPL,10.33,10.64,10.21,10.5,1.65,5108193,2339,53299.41
2014-02-03,ORANGEPL,10.45,10.65,10.35,10.49,-0.1,2745124,1791,28796.12
2014-02-04,ORANGEPL,10.35,10.48,10.32,10.39,-0.95,2321516,1070,24120.01
2014-02-05,ORANGEPL,10.35,10.46,10.31,10.32,-0.67,4949557,2617,51414.03
2014-02-06,ORANGEPL,10.3,10.49,10.22,10.47,1.45,4475201,1910,46445.59
2014-02-07,ORANGEPL,10.38,10.84,10.3,10.75,2.67,6840616,2598,72897.8
2014-02-10,ORANGEPL,10.78,11.08,10.6,10.99,2.23,3167385,1465,34666.51
2014-02-11,ORANGEPL,11.01,11.59,11,11.3,2.82,7182689,3333,81483.24
2014-02-12,ORANGEPL,10.6,10.84,10.29,10.8,-4.42,17582837,4666,188450.16
2014-02-13,ORANGEPL,10.57,10.65,9.93,10.1,-6.48,4520506,3775,46327.02
2014-02-14,ORANGEPL,10.05,10.2,9.65,9.95,-1.49,5253683,3324,51776.14
2014-02-17,ORANGEPL,9.95,10.18,9.83,10.09,1.41,1743182,1626,17594.26
2014-02-18,ORANGEPL,10.17,10.38,10.08,10.3,2.08,1830213,1436,18685
2014-02-19,ORANGEPL,10.28,10.45,10.13,10.3,0,2295273,1233,23647.73
2014-02-20,ORANGEPL,10.24,10.42,10.15,10.33,0.29,2407977,1496,24915.49
